snapshots,AL,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LV,MK,NL,NO,PL,PT,RO,RS,SI,SK
2020-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,135.4,0.0,4918.5,0.0,5032.5,0.0,36.0,0.0,0.0,463.9,7144.1,0.0,0.0,0.0,2462.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,81.8,0.0,3825.5,0.0,4600.1,0.0,36.0,0.0,0.0,498.2,4206.1,0.0,0.0,0.0,913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,67.2,0.0,8557.7,0.0,4339.6,0.0,36.0,0.0,0.0,311.1,968.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,67.2,0.0,6038.4,0.0,1009.5,0.0,36.0,0.0,0.0,0.0,2518.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,56.7,0.0,3316.1,0.0,892.4,0.0,36.0,0.0,0.0,0.0,10291.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,56.7,0.0,2622.5,0.0,888.6,0.0,0.0,0.0,0.0,0.0,9783.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,56.7,0.0,3275.7,0.0,890.1,0.0,0.0,0.0,0.0,0.0,10502.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,67.2,0.0,4417.4,0.0,2884.1,0.0,0.0,0.0,0.0,0.0,10790.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,67.2,0.0,3921.1,0.0,3634.9,0.0,36.0,0.0,0.0,0.0,9469.5,0.0,0.0,0.0,338.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,95.1,0.0,4436.4,0.0,3727.6,0.0,36.0,0.0,0.0,0.0,4633.2,0.0,0.0,0.0,913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,6652.2,0.0,3839.3,4451.6,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,170.2,0.0,8313.3,0.0,3954.5,7037.2,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2544.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,178.5,0.0,6565.3,0.0,4578.8,9975.3,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2986.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
